k-means compress with I-FGSM./images/test_274.JPEG
l2 norm is 0.0
l2 norm is 0.009424617421124085
l2 norm is 0.012944739989079728
l2 norm is 0.015464925741805535
l2 norm is 0.017289663288920693
l2 norm is 0.018783981479861357
l2 norm is 0.02032752776404801
l2 norm is 0.02164047062126759
l2 norm is 0.02308009751515907
l2 norm is 0.024284006847825456
l2 norm is 0.025624592215575996
l2 norm is 0.026719012156324187
l2 norm is 0.027999923664440256
l2 norm is 0.02908798691591413
l2 norm is 0.030340557716132265
l2 norm is 0.03173164701815923
l2 norm is 0.03314939702868393
l2 norm is 0.03459355097235739
l2 norm is 0.035584821071133706
l2 norm is 0.036726783193287496
l2 norm is 0.03767109331289482
l2 norm is 0.03857639765319683
l2 norm is 0.03937306330285155
l2 norm is 0.040291490569300224
l2 norm is 0.041010123973882644
l2 norm is 0.04185525752818418
l2 norm is 0.04283217785162653
l2 norm is 0.04369924983267899
l2 norm is 0.04439836719620814
l2 norm is 0.04512135385291872
l2 norm is 0.04586522442783832
l2 norm is 0.0463663131604114
l2 norm is 0.047029729122303264
l2 norm is 0.047656352011774664
l2 norm is 0.04833170552576753
l2 norm is 0.04869873307346125
l2 norm is 0.04932010041932556
l2 norm is 0.04962991219919382
l2 norm is 0.050206828187968004
l2 norm is 0.050467447745348615
l2 norm is 0.05099303985898511
l2 norm is 0.05134763671944277
l2 norm is 0.05162933436104617
l2 norm is 0.0521260781519693
l2 norm is 0.05242520451454093
l2 norm is 0.05283517167141163
l2 norm is 0.05318925404345923
l2 norm is 0.053507127748547816
l2 norm is 0.05383703212444503
l2 norm is 0.05412786529508004
l2 norm is 0.054445176885400105
l2 norm is 0.05476221447418294
l2 norm is 0.0549766779756492
l2 norm is 0.055393792601216824
l2 norm is 0.055613295929093545
l2 norm is 0.055890386566115294
l2 norm is 0.05610020538936231
l2 norm is 0.0563818346953365
l2 norm is 0.05658619625035553
l2 norm is 0.05694665734402243
l2 norm is 0.057150095083169275
l2 norm is 0.057570280766151595
